Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
190,Mangammana Palya,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds,,,,,2,2,2,2,2,2,2,2,2,2,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,Low,Low,Low,Low,No,No,Candidate's individual capabilities, Past work record of candidate,,,,,,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
192,Begur,No - I was not on the voters list,I did not vote in any election,,Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,High,No,No,Past work record of candidate, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,,,,BJP candidate,None,41-50,Graduate diploma/degree,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Hindi, English,,,,
19,Sanjayanagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Krishnamurthy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, building byelaw violation,,,4,4,Not applicable,5 - High Importance,5 - High Importance,Not applicable,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,2 - Poor,1- Very Poor,Not applicable,1- Very Poor,3 - Average,1- Very Poor,3 - Average,3 - Average,2 - Poor,3 - Average,Zero,Zero,Zero,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,Me,AAP candidate,Aam Aadmi Party,31-40,Post graduate,Professional (Medical/Law/CA),"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Hindi, English, coorgi,,
193,Arakere,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014, By Election for MP",Ravipurushottam,No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,,,4,3,4,3,1 - Low Importance,3,3,4,4,3,4 - Good,3 - Average,4 - Good,3 - Average,2 - Poor,2 - Poor,3 - Average,4 - Good,3 - Average,3 - Average,Medium,Medium,High,Can't say,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate,,"Suresh Kumar, MLA Rajaji Nagar",BJP candidate,"BJP, Loksatta",31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada,,,,,,
185,Yalachenahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",O Manjunath,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,Rajeev Chandrashekar,Party doesn't matter; candidate does,"BJP, Loksatta, Aam Aadmi Party",31-40,Graduate diploma/degree,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English, Tulu,,,
149,Varthur,No - other reasons,Did not vote in Karnataka,N.Udaya Kumar,Non-collection of garbage from your home, Bad roads with potholes, Lack of parks and playgrounds,,,,,,,3,3,1 - Low Importance,1 - Low Importance,5 - High Importance,3,3,1 - Low Importance,5 - High Importance,5 - High Importance,3 - Average,3 - Average,1- Very Poor,1- Very Poor,5 - Very Good,3 - Average,3 - Average,1- Very Poor,4 - Good,4 - Good,Low,Low,Low,Medium,No,No,Candidate's individual capabilities,,,,,,No idea,BJP candidate,BJP,25-30,Graduate diploma/degree,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
176,B.T.M.Layout,Yes,"BBMP elections 2010, Parliament elections 2014",,Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land, Road Blocks,,,,3,3,2,1 - Low Importance,4,1 - Low Importance,4,1 - Low Importance,3,5 - High Importance,3 - Average,2 - Poor,4 - Good,1- Very Poor,3 - Average,1- Very Poor,3 - Average,1- Very Poor,4 - Good,4 - Good,Zero,Low,Low,High,,No,Candidate's individual capabilities, Past work record of candidate, Political party of the candidate,,,,,Party doesn't matter; candidate does,,25-30,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
9,Vidyaranyapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Nandini Srinivas,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, Stray Dogs,1 - Low Importance,2,2,1 - Low Importance,2,1 - Low Importance,2,2,2,2,2 - Poor,2 - Poor,2 - Poor,1- Very Poor,2 - Poor,1- Very Poor,2 - Poor,2 - Poor,1- Very Poor,1- Very Poor,Low,Low,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, What is his Passion,,,"Nandan Nilekani, Narayan Murthy or Even ME",Party doesn't matter; candidate does,Not a relevant question,31-40,Graduate diploma/degree,IT/ITES,"<10,000 Rs",Male,Kannada, Tamil, Telugu, Urdu, Hindi, English,
58,New Thippasandra,No - I was not on the voters list,Parliament elections 2014,Smt. Sumithra Vijaykumar,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,1 - Low Importance,1 - Low Importance,5 - High Importance,3,3,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,3 - Average,4 - Good,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Zero,Zero,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Loksatta candidate,"Loksatta, Aam Aadmi Party",31-40,Post graduate,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Telugu, Malayalam, Hindi, English,
176,B.T.M.Layout,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",nagendra babu,Garbage black spots, Unwalkable footpaths, noise pollution and dangerous driving,,,,,,,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,3 - Average,2 - Poor,4 - Good,2 - Poor,4 - Good,4 - Good,2 - Poor,3 - Average,4 - Good,3 - Average,Low,Low,Medium,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Party doesn't matter; candidate does,no idea,31-40,Post graduate,Business/self employed,"<10,000 Rs",Female,Kannada, Tamil, Telugu, Hindi, English,,
174,H.S.R. Layout,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Latha Narasimhamurthy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,3,3,1 - Low Importance,1 - Low Importance,1 - Low Importance,Not applicable,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,3 - Average,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Can't say,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate,,,,,Someone who is accountable directly and makes herself/himself & her/his staff available & answerable to the public,Party doesn't matter; candidate does,,41-50,Post graduate,Business/self employed,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English, Konkani, some Tamil,,
130,Ullala,No - other reasons,"Assembly elections 2013, Parliament elections 2014",Rajanna,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,1 - Low Importance,1 - Low Importance,4,2,3,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,1 - Low Importance,1- Very Poor,1- Very Poor,3 - Average,2 - Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,Medium,Medium,Medium,Can't say,No,The one who appears more promising will get my vote.,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Reputation as a good human being,,,,Party doesn't matter; candidate does,BJP,60+,Post graduate,Retired,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
83,Kadugodi,No - I was not on the voters list,Assembly elections 2013,K N Anjaneya Reddy,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,Not applicable,Not applicable,1- Very Poor,1- Very Poor,2 - Poor,2 - Poor,2 - Poor,Not applicable,2 - Poor,2 - Poor,Low,Low,Low,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,R K Misra,Party doesn't matter; candidate does,"Loksatta, Aam Aadmi Party",31-40,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Telugu, Hindi, English,,,
59,Maruthi Seva Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Rajendra,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Lack of primary health centres, Lack of public toilets,,,,,1 - Low Importance,1 - Low Importance,3,1 - Low Importance,3,3,1 - Low Importance,3,3,1 - Low Importance,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,3 - Average,3 - Average,1- Very Poor,3 - Average,3 - Average,3 - Average,Medium,Low,Medium,Medium,Yes,Yes,Candidate's individual capabilities, Political party of the candidate,,,,,Siddaramiah,,,31-40,Graduate diploma/degree,Professional (Medical/Law/CA),"Between Rs 25,000 and Rs 50,000",Male,Kannada, Urdu, Hindi, English,,,
85,Doddanekundi,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",sridhar reddy,Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, No Drainage,,,,,3,1 - Low Importance,3,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,Low,Low,Low,Can't say,,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Telugu, Hindi, English,,,
113,Konena Agrahara,No - I was not on the voters list,Parliament elections 2014,Chandrappa Reddt,Non-collection of garbage from your home, Lack of parks and playgrounds,,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,4,4,5 - High Importance,5 - High Importance,4,4,4,4 - Good,3 - Average,3 - Average,4 - Good,4 - Good,3 - Average,3 - Average,3 - Average,4 - Good,4 - Good,Very high,Very high,Very high,Zero,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Hindi, English, Konkani,,,
100,Basaveshwaranagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Shivaraju,No street lights, Bad roads with potholes, Unwalkable footpaths,,,,,,,Not applicable,1 - Low Importance,Not applicable,2,3,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,2 - Poor,Not applicable,2 - Poor,3 - Average,4 - Good,3 - Average,Not applicable,Not applicable,Not applicable,High,Medium,Medium,Low,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Party doesn't matter; candidate does,"JDS, BJP",31-40,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, English,,,,,
147,Adugodi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Murugesh Mudaliar,Garbage black spots, Non-collection of garbage from your home, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Encroachment of public land, Ours is a land locked BDA Lay Out. BMTC buses cannot enter the Block. We have to walk upto the Passport Office, Kml P.S. or to Adugodi to catch a bus. The KML village is growing awkwardly with many multi-storey buildings (all with Akramas) creating traffic, garbage & water problems in our block. ,1 - Low Importance,1 - Low Importance,Not applicable,2,4,3,2,1 - Low Importance,2,2,3 - Average,2 - Poor,Not applicable,3 - Average,4 - Good,4 - Good,3 - Average,2 - Poor,3 - Average,3 - Average,High,High,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,"SM Krishna, if he can be given a chance!!! none else has impressed me.",Party doesn't matter; candidate does,It is well known that only one of the TWO major National parties thrive in Bengaluru. but both of them have disappointed us.,60+,Graduate diploma/degree,Retired,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Hindi, English,,,
49,Lingarajapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Lavanya Ganesh Reddy,Lack of primary health centres, Encroachment of public land, numerous huts are build by the slum people on the available spaces.Gov should provide shelter builded for them and so that tge name slum to be eradicated from the society gor betterment of bangalore n nation,,,,,,,3,Not applicable,Not applicable,5 - High Importance,5 - High Importance,4,4,2,4,4,3 - Average,3 - Average,Not applicable,5 - Very Good,5 - Very Good,3 - Average,4 - Good,2 - Poor,4 - Good,4 - Good,High,High,High,Zero,Yes,Yes,Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,,Ganesh Reddy,Party doesn't matter; candidate does,Congress,21-25,Graduate diploma/degree,Private Firm Employee,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Urdu, Hindi, English,,
195,Konanakunte,Yes,"BBMP elections 2010, Parliament elections 2014",Shashirekha Jayaram,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Sarakki Lake has become cess pool,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,4,4,3,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,3 - Average,2 - Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Clean image of candidate, Candidate's personality/ charm, Education,,,,Party doesn't matter; candidate does,Loksatta,25-30,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, English,,,,,
81,Vignana Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Geetha Vivekananda,Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,,,,3,3,5 - High Importance,4,5 - High Importance,5 - High Importance,4,2,1 - Low Importance,1 - Low Importance,2 - Poor,2 - Poor,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,2 - Poor,1- Very Poor,Very high,Very high,High,Can't say,No,Yes,Past work record of candidate, Political party of the candidate,,,,,Rajeev Chandrasekhar,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Above Rs 2,00,000",Male,Kannada, Hindi, English,,,,
164,VidyaPeeta Ward,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Shri M Venkatesh,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Lack of primary health centres, Lack of public toilets, Lack of government schooling, Encroachment of public land, Stray dogs,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,I'm not interested in voting in this election.,Candidate's individual capabilities,,,,,,Ramachandran M Nair,Party doesn't matter; candidate does,Adolf Hitler,60+,Graduate diploma/degree,Retired,"Between Rs 25,000 and Rs 50,000",Male,Tamil, Malayalam, Hindi, Arabic, Swedish,French,
165,Ganesh Mandira,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",govindaraj,Garbage black spots, Non-collection of garbage from your home, Unwalkable footpaths, Lack of public toilets, stray dogs,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,4,4,2,1 - Low Importance,2,2,2 - Poor,2 - Poor,2 - Poor,2 - Poor,4 - Good,4 - Good,2 - Poor,2 - Poor,3 - Average,2 - Poor,Low,Low,Low,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,AAP candidate,none,60+,Graduate diploma/degree,Retired,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
